WellID,Stage,model,mean_Do_x,mean_Do_y,mean_Do_z,sd_Do_x,sd_Do_y,sd_Do_z,hdi_3%_Do_x,hdi_3%_Do_y,hdi_3%_Do_z,hdi_97%_Do_x,hdi_97%_Do_y,hdi_97%_Do_z
3,38,linear,4.227,0.668,4.375,0.173,0.022,0.128,3.884,0.628,4.098,4.578,0.709,4.597
3,39,linear,3.558,1.081,4.089,0.102,0.054,0.043,3.367,0.991,4.013,3.731,1.181,4.171
3,40,linear,4.52,0.651,6.062,0.094,0.019,0.112,4.373,0.613,5.845,4.701,0.686,6.271
3,40,nonlinear,1.238,0.652,1.232,0.14,0.018,0.128,0.973,0.618,0.973,1.496,0.689,1.433
3,41,linear,4.016,0.574,5.273,0.127,0.015,0.259,3.748,0.549,4.749,4.25,0.603,5.812
3,41,nonlinear,1.094,0.573,1.166,0.114,0.015,0.124,0.896,0.548,0.939,1.284,0.602,1.368
3,42,linear,5.616,1.166,4.646,0.114,0.084,0.065,5.393,1.051,4.522,5.827,1.339,4.775
3,42,nonlinear,0.067,1.164,0.131,0.008,0.084,0.016,0.051,1.053,0.103,0.08,1.334,0.16
3,43,linear,6.3,0.767,3.371,0.118,0.032,0.097,6.091,0.714,3.183,6.542,0.829,3.57
3,43,nonlinear,2.041,0.769,1.44,0.244,0.035,0.169,1.568,0.712,1.111,2.467,0.843,1.71
3,44,linear,3.157,0.635,1.8,0.042,0.012,0.042,3.083,0.614,1.724,3.231,0.656,1.873
3,44,nonlinear,0.207,0.635,0.735,0.02,0.011,0.07,0.168,0.615,0.604,0.24,0.658,0.844
3,45,linear,2.701,0.711,5.056,0.053,0.018,0.046,2.612,0.674,4.975,2.81,0.74,5.145
3,45,nonlinear,0.699,0.711,2.447,0.08,0.018,0.259,0.537,0.675,1.97,0.839,0.738,2.886
3,46,linear,2.549,0.705,5.834,0.073,0.016,0.085,2.444,0.676,5.681,2.709,0.734,5.995
3,46,nonlinear,0.163,0.706,1.422,0.017,0.017,0.141,0.131,0.676,1.136,0.192,0.736,1.647
3,47,linear,5.193,1.72,7.082,0.07,0.082,0.111,5.062,1.597,6.909,5.318,1.882,7.298
3,47,nonlinear,0.686,1.722,2.69,0.089,0.081,0.332,0.51,1.607,2.023,0.823,1.895,3.196
3,48,linear,16.558,2.691,9.762,0.353,0.043,0.183,15.87,2.612,9.438,17.035,2.768,10.123
